epoch, iters, G_GAN, G_L1, D_real, D_fake
134, 100, 3.294, 35.223, 0.898, 0.051
134, 200, 3.799, 16.049, 0.216, 0.013
134, 300, 2.398, 21.467, 0.134, 0.305
134, 400, 3.282, 20.841, 0.167, 0.049
135, 100, 3.36, 24.258, 0.004, 0.245
135, 200, 3.689, 19.113, 0.02, 0.062
135, 300, 3.583, 20.073, 0.008, 1.054
135, 400, 2.558, 19.923, 0.201, 0.189
136, 100, 4.177, 17.692, 0.459, 0.009
136, 200, 4.313, 16.986, 0.109, 0.479
136, 300, 3.613, 30.623, 0.013, 0.412
136, 400, 1.594, 16.789, 1.222, 0.012
137, 100, 3.245, 27.34, 0.017, 0.476
137, 200, 3.311, 24.688, 0.22, 0.468
137, 300, 3.826, 24.549, 0.0, 0.83
137, 400, 3.432, 23.85, 0.065, 0.074
138, 100, 3.825, 16.964, 0.067, 0.042
138, 200, 3.249, 18.681, 0.002, 0.269
138, 300, 2.634, 24.744, 0.04, 0.133
138, 400, 3.093, 26.933, 0.014, 0.234
139, 100, 2.987, 20.668, 0.034, 0.349
